,NodeID,Repository,About_Topics,OwnerName,OwnerType,StarsNorm,ForkNorm,WatcherNorm
4,4,airsonic," :satellite: :cloud: :notes:Airsonic, a Free and Open Source community driven media server (fork of Subsonic and Libresonic) || audio,streaming,java,self-hosted,airsonic,video,dlna,subsonic,music,media-server,media-center,sonos",Airsonic,Organization,0.415697337951734,0.407608049122259,0.38185961771887
5,5,recsim," A Configurable Recommender Systems Simulation Platform || reinforcement-learning,recommender-system,machine-learning,simulation,artificial-intelligence,tensorflow,google",Alphabet,Organization,0.331145851192786,0.38584287167389,0.345922522945854
6,6,FinRL," A Deep Reinforcement Learning Library for Automated Trading in Quantitative Finance. NeurIPS 2020. 🔥 || deep-reinforcement-learning,drl-trading-agents,stock-trading,drl-algorithms,finrl-library,pythorch,tensorflow2,drl-framework,multi-agent-learning,finance,stock-markets,trading-tasks,openai-gym,fintech",AI4Finance,Organization,0.442309951074885,0.463625500040153,0.446104075339276
7,7,imbalanced-learn," A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning || machine-learning,python,statistics,data-science,data-analysis",Scikit-learn,Organization,0.654737320049206,0.550286505996656,0.490725581197631
8,8,aiyprojects-raspbian," API libraries, samples, and system images for AIY Projects (Voice Kit and Vision Kit) || raspberry-pi,ai,python,maker",Alphabet,Organization,0.394366842847043,0.479418696753275,0.517064050964419
9,9,Advanced-Deep-Learning-with-Keras," Advanced Deep Learning with Keras, published by Packt || keras,gan,vae,reinforcement-learning,autoencoder,deep-learning",PacktPublishing,Organization,0.360846311881145,0.466877965321031,0.364361202902065
11,11,mlsh," Code for the paper ""Meta-Learning Shared Hierarchies"" || paper",OpenAI,Organization,0.333684445543534,0.39510868938026,0.358177515341146
12,12,teachable-machine-v1," Explore how machine learning works, live in the browser. No coding required. || teachable-machine,machine-learning",Alphabet,Organization,0.547466070141048,0.461350206974921,0.509165097638715
13,13,Deep-Reinforcement-Learning-Hands-On," Hands-on Deep Reinforcement Learning, published by Packt || ",PacktPublishing,Organization,0.435765052385622,0.542504001302897,0.456563061615243
17,17,lectures," Oxford Deep NLP 2017 course || deep-learning,machine-learning,natural-language-processing,nlp,oxford",oxford-cs-deepnlp-2017,Organization,0.981938391358685,0.875385797204125,0.999861084687335
20,20,robosat," Semantic segmentation on aerial and satellite imagery. Extracts features such as: buildings, parking lots, roads, water, clouds || satellite-imagery,aerial-imagery,machine-learning,segmentation,openstreetmap",Mapbox,Organization,0.412293162741091,0.427413644068099,0.509165097638715
21,21,tfx," TFX is an end-to-end platform for deploying production ML pipelines || tensorflow,machine-learning,apache-beam",TensorFlow,Organization,0.394434096208748,0.445624406898595,0.426599785478744
36,36,nnvm," || computation-graph,deep-learning,optimization,deployment,nnvm,tvm,cuda,opencl,rocm,metal",Distributed Machine Learning Community,Organization,0.405301593103604,0.418922876924338,0.489408764500325
41,41,ScanNet," || rgbd,3d-reconstruction,computer-vision,computer-graphics,deep-learning",ScanNet,Organization,0.358558941573544,0.410628831487582,0.359411341200661
42,42,TensorFlow-LiveLessons,"""Deep Learning with TensorFlow"" LiveLessons || ",the-deep-learners,Organization,0.349525513577412,0.471272264060025,0.446104075339276
43,43,mlir,"""Multi-Level Intermediate Representation"" Compiler Infrastructure || ",TensorFlow,Organization,0.406385741972184,0.413973762442683,0.528898967291921
44,44,pml-book,"""Probabilistic Machine Learning"" - a book series by Kevin Murphy || ",probml,Organization,0.366290450912366,0.387722365264819,0.34714103765452
